RecordId,ListingId,OffenseId
591,353039,13440127079
592,353039,13440325060
593,353039,13478355658
594,353039,13440270058
595,353039,13437757833
596,353039,13446127356
597,353110,13438239074
598,353110,13442150914
599,353110,13465696919
600,353110,13465379295
601,353110,13469993671
602,353347,13440183833
603,353347,13479073108
604,353347,13499816398
605,356248,13435634132
606,356248,13433968478
607,356248,13438784685
608,356248,13438055317
609,356248,13469824733
610,356248,13477778320
611,356248,13470118196
612,356248,13470206007
613,356608,13437980754
614,356608,13437381964
615,356608,13437543951
616,356608,13460299839
617,356608,13458095245
618,356608,13447556177
619,356608,13438233039
620,356608,13438078183
621,356608,13461092798
622,356608,13469712039
623,356608,13465384494
624,356608,13470189908
625,356608,13469902976
626,356608,13469860697
627,356608,13469812604
628,356608,13477814813
629,356608,13484811193
630,356608,13478476653
631,356608,13478382512
632,356608,13477218101
633,356608,13471289409
634,356608,13471138296
635,356608,13470915032
636,356608,13470916742
637,356608,13470322259
638,356608,13499663310
639,356608,13499941829
640,356608,13499255398
641,356608,13499840649
642,356608,13436184575
643,356608,13470969242
644,356608,13460777885
645,356608,13440127079
646,356608,13440325060
647,356608,13478355658
648,356608,13440270058
649,356608,13437757833
650,356608,13446127356
651,365550,13438038770
652,365550,13440146257
653,365550,13440148608
654,365550,13440028094
655,365550,13438046408
656,365550,13440022258
657,365550,13469587498
658,365550,13440360102
659,365550,13440264262
660,365550,13465907132
661,365550,13470185429
662,365550,13469408622
663,365550,13478162705
664,365550,13447539054
665,365550,13484146749
666,365550,13483174012
667,365550,13479079534
668,365550,13470584748
669,365550,13478658660
670,365550,13470379848
671,365550,13499854337
672,365550,13498766534
673,365550,13478540343
674,365550,13499339312
675,365550,13448924731
676,365550,13499785794
677,365550,13470409175
678,365550,13478344719
679,365550,13498999337
680,368403,13469426326
681,370361,13447112105
682,370361,13440371798
683,370361,13465348087
684,370361,13470137427
685,370361,13469704521
686,380950,13469296694
687,380950,13478867376
688,380950,13469938581
689,387078,13438021308
690,387078,13427980576
691,387078,13460299839
692,387078,13439798857
693,387078,13439800650
694,387078,13438090167
695,387078,13457186959
696,387078,13457122145
697,387078,13437695817
698,387078,13469578052
699,387078,13469006120
700,387078,13465942192
701,387078,13465497742
702,387078,13440197833
703,387078,13469928666
704,387078,13469886438
705,387078,13469409274
706,387078,13448918366
707,387078,13480529919
708,387078,13470470372
709,387078,13470468622
710,387078,13448831468
711,387078,13499718132
712,387078,13499428371
713,387078,13499255398
714,387078,13499857117
715,392140,13440118892
716,392140,13440092739
717,392140,13469829970
718,392140,13471185462
719,392140,13521510332
720,413733,13436562682
721,413733,13437662491
722,413733,13462010387
723,413733,13465786074
724,413733,13499882706
725,430609,13428178693
726,430609,13448130908
727,430609,13448018257
728,430609,13440389100
729,430609,13470358761
730,430609,13466428751
731,430609,13499739586
732,430610,13465436054
733,430610,13457462404
734,430610,13440286071
735,430610,13466018846
736,430610,13478245624
737,430610,13498724205
738,447488,13446594548
739,447488,13440038711
740,447488,13439800650
741,447488,13438090167
742,447488,13438078183
743,447488,13457186959
744,447488,13457122145
745,447488,13437695817
746,447488,13465942192
747,447488,13465593459
748,447488,13465602075
749,447488,13465354095
750,447488,13465653273
751,447488,13465418177
